Attendance,Hours_Studied,Prev_GPA,Quiz_Avg,Midterm_Score,Assignment_Avg,Presentation_Marks,Internal_Marks,Final_Score,Total_Weighted,Grade,GPA_Points
85.6,1,3.15,77.72,69.88,73.15,64.78,58.59,50.61,62.85,C,2.0
85.0,7,2.96,100.0,67.33,88.85,75.86,46.33,69.05,74.45,B,3.0
86.2,14,3.68,71.88,74.18,84.61,67.76,81.46,87.61,80.29,B+,3.3
73.8,8,3.05,65.58,88.86,77.13,66.95,93.67,69.85,75.73,B,3.0
84.8,8,2.55,63.22,61.43,64.04,48.93,60.54,67.39,63.67,C+,2.3
85.5,2,3.59,87.18,78.54,93.43,75.7,86.11,84.49,83.94,A-,3.7
73.4,5,2.87,81.05,61.75,75.69,91.32,61.02,55.23,64.87,C+,2.3
100.0,6,3.32,77.1,100.0,87.67,57.73,80.97,73.31,81.59,B+,3.3
87.7,6,2.71,62.04,80.69,69.38,62.6,85.72,74.34,73.57,B,3.0
67.7,13,2.61,79.7,91.24,89.54,85.36,69.08,82.92,84.61,A-,3.7
89.9,10,3.05,56.72,63.84,77.05,100.0,82.58,59.14,64.96,C+,2.3
70.3,3,3.01,75.32,83.1,77.47,44.29,67.36,64.12,71.05,B-,2.7
91.4,8,3.29,92.97,67.9,96.43,74.86,89.77,72.5,77.8,B+,3.3
95.9,9,2.84,60.48,74.01,94.74,82.35,82.54,54.6,67.13,C+,2.3
72.2,12,1.9,52.23,94.38,80.96,71.38,76.01,82.46,79.88,B+,3.3
93.6,14,2.74,100.0,58.44,66.9,35.54,100.0,64.4,68.84,B-,2.7
87.0,3,3.48,67.54,72.97,100.0,83.74,85.99,40.92,63.23,C+,2.3
91.9,4,2.82,92.31,75.28,100.0,100.0,65.61,72.05,79.77,B+,3.3
100.0,2,2.85,72.49,76.12,89.47,74.9,73.6,58.9,69.84,B-,2.7
79.1,7,3.59,76.74,64.96,76.13,58.61,78.11,83.06,75.42,B,3.0
73.0,9,2.57,82.46,100.0,80.52,64.64,77.0,74.82,82.43,A-,3.7
71.3,11,2.07,61.85,47.39,74.59,100.0,100.0,48.14,57.84,C-,1.7
72.2,7,2.9,77.71,92.06,96.89,90.1,80.91,84.3,86.63,A-,3.7
81.1,6,2.71,69.43,87.59,84.3,84.67,46.65,65.12,73.35,B,3.0
86.1,8,2.42,56.08,99.3,72.48,80.31,68.29,67.07,74.74,B,3.0
85.3,4,2.89,79.95,42.48,75.24,60.99,47.84,57.27,58.49,C,2.0
91.9,16,3.29,81.6,64.65,100.0,79.94,80.93,65.96,72.83,B,3.0
82.2,1,2.99,70.52,89.75,98.08,69.48,45.06,55.67,70.82,B-,2.7
99.4,8,3.18,62.11,43.23,100.0,88.15,68.06,75.63,68.18,B-,2.7
78.8,16,4.0,100.0,54.38,100.0,100.0,65.79,82.84,80.02,B+,3.3
100.0,8,2.79,91.91,63.95,81.73,96.89,84.14,66.92,73.77,B,3.0
89.5,7,3.17,92.99,74.6,45.63,50.98,78.54,67.97,70.83,B-,2.7
71.7,6,2.69,69.55,92.61,83.7,76.16,78.37,79.85,81.62,B+,3.3
69.1,7,2.49,47.83,63.81,79.75,85.03,72.31,69.75,66.87,C+,2.3
87.8,13,2.65,100.0,63.75,88.16,89.62,60.96,65.66,73.55,B,3.0
79.3,1,2.71,70.55,69.45,78.12,58.14,78.66,64.2,68.28,B-,2.7
90.6,14,3.22,72.51,84.25,73.82,100.0,100.0,75.44,79.5,B+,3.3
87.7,2,4.0,84.42,78.23,90.86,53.18,83.9,69.51,75.96,B,3.0
81.1,6,2.57,92.1,64.74,88.18,53.09,68.63,67.15,71.76,B-,2.7
71.8,6,2.75,74.03,36.1,88.57,76.58,54.39,52.26,56.44,C-,1.7
63.8,10,2.96,96.4,55.54,94.58,100.0,64.51,76.61,76.67,B,3.0
76.6,1,3.24,89.56,89.04,86.57,56.27,79.66,78.23,82.44,A-,3.7
92.3,9,3.16,64.02,76.16,81.25,73.39,95.19,56.19,67.67,C+,2.3
84.6,16,3.77,76.63,74.58,91.89,100.0,90.39,67.88,76.0,B,3.0
67.1,2,1.54,80.63,77.16,73.36,63.95,77.47,59.02,69.4,B-,2.7
84.1,8,1.57,31.6,47.21,79.58,64.27,82.2,67.12,58.67,C,2.0
86.6,5,2.7,72.72,64.35,92.94,83.14,82.05,56.19,67.02,C+,2.3
71.4,9,3.66,58.62,75.28,93.8,82.99,70.86,69.8,72.61,B,3.0
83.8,8,2.06,67.07,60.16,100.0,90.77,76.65,58.28,66.78,C+,2.3
82.7,5,1.5,65.29,64.38,100.0,91.02,57.89,54.95,65.31,C+,2.3
68.3,9,3.34,73.12,68.49,85.45,82.02,78.73,71.83,73.4,B,3.0
86.3,15,3.15,75.45,54.34,43.69,86.98,88.36,79.32,69.77,B-,2.7
88.7,7,2.35,58.71,71.07,96.01,77.02,98.67,71.31,73.48,B,3.0
95.0,10,2.41,100.0,49.89,77.66,84.94,59.8,55.45,64.65,C+,2.3
94.6,2,2.42,100.0,68.19,68.92,71.53,79.28,91.79,83.2,A-,3.7
65.5,4,3.07,56.2,88.62,74.85,71.62,94.37,71.12,74.82,B,3.0
70.7,9,2.62,99.58,64.35,76.49,95.39,86.47,64.95,73.75,B,3.0
88.2,13,3.3,77.13,57.38,96.47,100.0,94.78,86.03,79.71,B+,3.3
88.2,9,1.5,75.06,64.09,60.41,43.98,81.35,55.01,61.59,C,2.0
88.2,6,2.49,74.03,54.67,68.05,73.16,93.16,75.45,70.07,B-,2.7
100.0,7,2.32,66.28,78.69,86.3,61.78,60.96,58.53,67.79,B-,2.7
88.9,2,2.85,88.45,64.32,87.17,66.09,54.29,76.66,74.75,B,3.0
95.6,10,2.68,81.17,99.64,92.98,84.53,79.19,85.72,88.86,A,4.0
93.4,11,3.48,75.81,94.57,79.52,93.01,52.7,94.3,87.97,A,4.0
89.8,6,1.88,53.13,63.25,66.96,68.68,89.93,76.11,68.85,B-,2.7
78.2,6,3.03,62.74,80.59,76.06,39.7,93.23,56.65,66.47,C+,2.3
91.1,9,3.34,56.15,67.48,89.65,61.4,74.7,79.04,72.68,B,3.0
72.7,6,4.0,79.65,73.01,100.0,93.61,74.28,59.96,72.58,B,3.0
79.2,7,2.71,57.71,62.88,57.09,24.33,74.65,46.02,53.44,D+,1.3
76.2,16,3.19,79.6,88.84,86.93,100.0,84.31,77.33,82.99,A-,3.7
83.0,7,1.92,93.43,88.81,62.89,80.26,74.66,78.66,81.72,B+,3.3
100.0,6,1.56,90.43,78.22,58.61,94.13,80.26,68.16,74.96,B,3.0
59.6,5,3.51,75.02,83.25,93.1,69.93,73.08,71.87,77.27,B+,3.3
90.2,10,3.0,78.71,87.79,92.56,40.91,93.22,79.35,81.46,B+,3.3
62.6,7,3.71,100.0,79.82,89.39,83.75,84.24,84.7,86.18,A-,3.7
76.3,5,2.18,79.66,46.62,88.9,92.79,63.35,63.18,65.57,C+,2.3
95.1,13,3.31,78.93,100.0,84.09,98.49,100.0,99.14,94.83,A,4.0
82.8,13,4.0,63.99,100.0,86.19,71.45,66.36,100.0,90.11,A,4.0
69.1,5,3.25,81.32,64.67,100.0,74.97,74.12,67.18,72.69,B,3.0
73.4,1,3.17,85.16,59.79,75.76,61.13,86.26,55.1,64.71,C+,2.3
90.2,12,3.01,71.99,84.26,96.28,64.71,71.34,83.59,81.73,B+,3.3
73.2,5,2.06,75.43,72.87,77.14,86.26,75.39,53.72,66.82,C+,2.3
84.6,11,3.81,77.95,73.17,67.22,59.84,91.01,66.21,70.73,B-,2.7
82.5,1,2.63,68.71,44.47,52.93,53.38,59.42,56.35,54.9,C-,1.7
74.2,11,3.3,43.0,78.21,79.37,58.45,79.31,67.82,67.96,B-,2.7
100.0,3,2.06,69.01,74.16,91.01,43.52,70.15,50.12,63.73,C+,2.3
89.6,10,2.29,91.66,81.73,92.58,77.76,69.4,61.38,75.35,B,3.0
57.7,8,3.86,69.34,77.4,95.78,97.72,100.0,76.96,80.0,B+,3.3
84.2,4,2.79,75.17,63.04,68.54,69.05,63.7,71.38,69.08,B-,2.7
74.1,6,3.87,67.75,87.99,100.0,49.99,93.16,87.98,84.51,A-,3.7
92.2,10,2.95,85.43,74.07,74.44,93.14,74.52,74.25,76.86,B,3.0
72.5,8,1.89,69.16,57.97,80.96,100.0,57.2,80.33,72.96,B,3.0
80.6,10,3.54,67.13,71.33,87.1,67.59,82.66,70.13,72.17,B-,2.7
88.1,15,2.65,100.0,46.97,85.82,71.3,91.0,66.98,70.23,B-,2.7
92.4,1,3.42,89.55,65.7,97.68,82.9,88.51,41.68,64.87,C+,2.3
67.6,14,3.02,71.57,84.65,78.18,100.0,100.0,75.99,80.11,B+,3.3
78.0,8,2.07,81.15,72.12,63.48,62.32,100.0,75.18,74.74,B,3.0
76.3,4,3.1,82.89,92.16,81.07,48.85,78.34,90.15,86.0,A-,3.7
74.2,2,4.0,86.45,65.61,78.02,86.19,67.54,57.9,68.02,B-,2.7
100.0,7,3.3,54.69,80.9,100.0,92.48,86.44,77.63,78.43,B+,3.3
86.9,11,2.97,95.37,85.95,94.39,78.38,76.54,92.02,89.79,A,4.0
66.9,7,3.65,69.64,100.0,79.28,66.14,91.15,80.73,83.53,A-,3.7
93.0,14,3.13,78.25,78.94,76.95,99.52,65.46,54.75,69.31,B-,2.7
100.0,2,3.13,100.0,52.21,59.36,83.42,100.0,62.79,68.28,B-,2.7
94.4,7,2.35,80.27,82.31,69.44,59.91,87.72,78.03,78.15,B+,3.3
63.8,2,3.14,66.55,95.19,79.72,71.22,48.76,61.91,72.51,B,3.0
76.2,9,3.62,47.32,68.24,100.0,54.07,70.47,63.88,65.94,C+,2.3
97.2,11,2.5,100.0,85.88,98.88,89.77,90.85,71.21,83.87,A-,3.7
73.5,6,3.85,58.77,91.61,87.7,72.23,95.42,51.04,69.28,B-,2.7
87.3,1,2.94,58.14,82.46,75.31,63.35,55.38,73.54,72.22,B-,2.7
91.3,8,2.47,71.64,71.62,85.84,74.02,86.59,68.15,72.52,B,3.0
70.9,9,3.6,100.0,61.61,79.57,78.52,52.53,85.88,79.26,B+,3.3
81.3,9,2.83,89.35,69.45,100.0,91.86,76.5,82.0,81.98,A-,3.7
43.1,12,3.46,76.18,78.89,82.28,87.19,94.12,74.38,78.2,B+,3.3
69.7,3,2.82,76.97,79.88,77.31,67.53,64.63,66.31,72.38,B-,2.7
79.0,10,2.96,69.73,77.08,58.15,90.49,57.64,75.08,72.98,B,3.0
67.0,12,3.3,82.39,67.22,83.95,85.51,82.35,82.96,79.14,B+,3.3
100.0,1,3.17,76.48,77.27,91.42,65.7,66.91,70.05,74.58,B,3.0
64.8,9,1.8,86.51,78.74,65.17,67.74,80.79,80.72,78.89,B+,3.3
76.7,5,2.33,87.0,71.56,69.48,67.82,60.1,61.63,68.94,B-,2.7
83.6,7,3.56,86.91,59.12,95.01,86.59,68.68,58.13,68.33,B-,2.7
99.3,9,2.92,74.47,70.01,68.19,71.3,51.62,65.54,67.85,B-,2.7
64.8,6,2.69,84.57,81.61,92.13,64.41,75.82,74.83,79.24,B+,3.3
96.0,5,2.18,72.44,44.69,73.43,100.0,71.57,41.85,54.7,C-,1.7
82.1,8,2.35,58.98,34.72,76.55,90.13,58.57,36.33,47.15,F,0.0
70.2,3,1.79,62.23,85.41,60.79,52.59,70.99,66.96,69.73,B-,2.7
87.5,3,2.94,75.88,75.79,85.15,82.89,88.99,64.34,73.18,B,3.0
84.4,10,2.64,91.65,80.71,100.0,78.13,74.98,76.13,82.03,A-,3.7
74.8,3,2.42,68.51,47.03,86.64,76.31,75.01,50.02,58.27,C,2.0
82.8,10,2.96,60.98,83.92,74.75,79.59,82.95,88.42,81.1,B+,3.3
77.4,9,3.22,79.77,76.32,98.55,98.33,62.06,87.79,84.04,A-,3.7
83.4,1,4.0,78.74,44.69,79.24,81.26,100.0,45.05,57.99,C-,1.7
89.9,5,2.09,75.64,88.64,95.34,69.73,66.26,66.78,76.55,B,3.0
100.0,12,3.7,99.0,80.74,100.0,100.0,94.39,93.61,92.2,A,4.0
67.1,4,3.58,91.11,62.49,46.51,78.03,86.6,69.52,69.98,B-,2.7
100.0,6,2.53,67.41,63.27,70.27,76.51,74.37,60.4,64.66,C+,2.3
58.6,9,3.12,67.4,37.4,93.97,80.29,85.14,45.91,55.49,C-,1.7
80.2,11,2.73,63.04,81.13,86.46,74.96,82.08,66.66,72.9,B,3.0
89.1,6,3.11,88.03,74.74,71.26,75.72,57.7,64.01,71.29,B-,2.7
85.4,5,3.91,100.0,69.57,78.08,67.12,75.03,74.04,76.92,B,3.0
74.5,13,3.36,77.26,95.45,65.12,66.47,73.41,98.46,88.34,A,4.0
79.5,14,3.31,79.37,53.85,87.93,63.02,76.53,61.12,65.59,C+,2.3
76.1,11,2.74,100.0,61.72,100.0,51.21,60.01,60.09,70.03,B-,2.7
74.9,8,2.11,81.11,52.93,89.19,55.7,89.3,59.7,65.45,C+,2.3
92.2,4,2.87,82.04,64.04,100.0,70.36,97.93,76.83,77.46,B+,3.3
86.3,4,3.72,60.45,72.39,94.9,78.17,92.0,53.85,66.7,C+,2.3
73.7,10,2.08,84.87,74.57,93.02,67.81,92.48,87.11,83.53,A-,3.7
92.8,9,2.37,63.12,64.51,100.0,32.66,72.24,61.47,65.43,C+,2.3
85.7,13,3.08,64.98,60.95,92.52,100.0,73.08,62.14,67.75,B-,2.7
91.8,10,2.41,72.62,97.8,81.57,95.38,66.92,63.81,77.14,B,3.0
89.6,1,2.52,62.95,100.0,90.13,77.76,80.76,80.5,83.58,A-,3.7
72.1,12,2.75,75.29,73.9,100.0,100.0,81.79,74.11,78.5,B+,3.3
75.3,4,2.18,49.44,51.94,71.29,51.46,69.97,51.55,54.22,C-,1.7
91.0,6,2.42,89.36,91.59,72.32,100.0,93.11,68.47,80.58,B+,3.3
89.3,9,3.42,97.83,50.76,88.58,61.54,86.58,63.35,68.97,B-,2.7
81.7,15,2.22,50.34,67.19,95.53,81.85,67.81,63.4,66.74,C+,2.3
83.4,20,2.04,97.18,64.36,98.08,57.57,72.97,75.75,77.3,B+,3.3
97.3,10,2.62,67.05,53.66,68.12,77.47,88.76,54.0,60.2,C,2.0
74.9,7,3.44,91.0,66.67,100.0,83.1,92.73,57.62,72.16,B-,2.7
88.6,10,2.88,78.35,58.55,77.69,74.6,87.1,93.01,79.45,B+,3.3
